"OBJECTID_1","OBJECTID_2","name","SOURCE","DEFINITION","ADM1_NAME","ADM2_NAME","RELIABILIT","X_COORD","Y_COORD","P_CODE","MGRS_CODE","Profile_Ma","market_settlement","Id","hex_4000km_market","geometry"
556,559,"Aw Dheegle","UNDP - 1997, FSAU","Town","Lower Shabelle","Afgooye","Verified",44.831348,1.97936,"NA-3810-A30-008","38NMH8124418780",NA,"NA-3810-A30-008",0,"X-54",c(44.831348, 1.97936)
559,562,"Horsed","UNDP - 2006","Part of town","Lower Shabelle","Afgooye","Verified",44.83325,1.97441,"NA-3810-A30-003","38NMH8145518233",NA,"NA-3810-A30-003",0,"X-54",c(44.83325, 1.97441)
560,563,"Malable","UNDP - 2006","Part of town","Lower Shabelle","Afgooye","Verified",44.8179,1.98398,"NA-3810-A29-001","38NMH7974819291",NA,"NA-3810-A29-001",0,"X-54",c(44.8179, 1.98398)
581,584,"Aw Mudey","UNDP - 2006","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.78754,2.41869,"NA-3806-P29-001","38NMH7637967341",NA,"NA-3806-P29-001",0,"X-51",c(44.78754, 2.41869)
586,589,"Aw Riinow","UNDP - 1997","Settlement","Bay","Buur Hakaba","Verified",44.035561,2.80481,"NA-3806-E12-003","38NLJ9280410062",NA,"NA-3806-E12-003",0,"S-49",c(44.035561, 2.80481)
612,615,"Awkuule","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.83078,2.43788,"NA-3806-P30-017","38NMH8118669461",NA,"NA-3806-P30-017",0,"X-51",c(44.83078, 2.43788)
619,622,"Aw-Qoonle","UNDP - 2006, UNDP - 1997","Settlement","Bakool","Tayeeglow","Verified",44.57172,3.76927,"NA-3802-F24-004","38NMK5244516635",NA,"NA-3802-F24-004",0,"W-44",c(44.57172, 3.76927)
627,630,"Aw-Shiine","UNDP - 2006, UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.38992,3.20749,"NA-3801-V31-010","38NLJ2109354668",NA,"NA-3801-V31-010",0,"O-47",c(43.38992, 3.20749)
632,635,"Axmed Cigoow","UNDP - 1997","Settlement","Middle Shabelle","Jowhar","Verified",45.548969,2.90973,"NA-3807-C13-004","38NNJ6100921630",NA,"NA-3807-C13-004",0,"AB-49",c(45.548969, 2.90973)
643,646,"Ay Bunay","UNDP - 2006","Settlement","Lower Shabelle","Sablaale","Verified",43.93783,1.40775,"NA-3810-Q10-008","38NLG8183555625",NA,"NA-3810-Q10-008",0,"S-56",c(43.93783, 1.40775)
649,652,"Aybutey","KEMRI - 2007, UNDP - 2006","Settlement","Lower Shabelle","Qoryooley","Verified",44.81648,1.9143,"NA-3810-C29-011","38NMH7959011589",NA,"NA-3810-C29-011",0,"X-54",c(44.81648, 1.9143)
673,676,"Baabo","UNDP - 1997","Settlement","Lower Juba","Badhaadhe","Verified",41.602901,-1.4527,"SA-3708-L25-001","37MGU8964539265",NA,"SA-3708-L25-001",0,"E-71",c(41.602901, -1.4527)
695,698,"Baalgudde","UNDP - 1997","Settlement","Lower Juba","Kismayo","Verified",42.19532,-0.49188,"SA-3801-M05-001","38MJE8779545566",NA,"SA-3801-M05-001",0,"H-66",c(42.19532, -0.49188)
700,703,"Baanlow","UNDP - 2006, FSAU","Settlement","Bay","Baidoa","Verified",43.28316,2.79677,"NA-3805-E29-001","38NLJ0915609269",NA,"NA-3805-E29-001",0,"O-49",c(43.28316, 2.79677)
757,760,"Bacadley","UNDP - 2006, UNDP - 1997","Settlement","Middle Shabelle","Balcad","Verified",45.49138,2.65573,"NA-3807-J11-002","38NNH5462093550",NA,"NA-3807-J11-002",0,"AB-50",c(45.49138, 2.65573)
780,783,"Badhaadhe","UNDP - 1997, FSAU","District Capital","Lower Juba","Badhaadhe","Verified",41.500469,-1.03537,"SA-3708-A23-001","37MGU7828385450","Badhaadhe","SA-3708-A23-001",0,"D-69",c(41.500469, -1.03537)
780,783,"Badhaadhe","UNDP - 1997, FSAU","District Capital","Lower Juba","Badhaadhe","Verified",41.500469,-1.03537,"SA-3708-A23-001","37MGU7828385450","Badhaadhe","SA-3708-A23-001",0,"D-69",c(41.500469, -1.03537)
780,783,"Badhaadhe","UNDP - 1997, FSAU","District Capital","Lower Juba","Badhaadhe","Verified",41.500469,-1.03537,"SA-3708-A23-001","37MGU7828385450","Badhaadhe","SA-3708-A23-001",0,"D-69",c(41.500469, -1.03537)
